has.been.deprecated,69019031,0.4772088141663949
unchecked.assign,23723377,0.16402728989620743
unchecked.cast.to.type,13669448,0.09451278836976425
unchecked.call.mbr.of.raw.type,10712859,0.07407045079670549
unchecked.meth.invocation.applied,5414255,0.037435040317278206
sun.proprietary,5365546,0.03709825836319324
unchecked.generic.array.creation,4024360,0.027825080062029165
annotation.method.not.found,3358331,0.02322004715030327
source.no.bootclasspath,2767138,0.0191324425232045
unchecked.varargs.non.reifiable.type,2166705,0.014980951032163849
unknown.enum.constant,1724135,0.011920950017579604
inexact.non-varargs.call,585360,0.004047274315694767
raw.class.use,441389,0.0030518353883596376
proc.processor.incompatible.source.version,231773,0.0016025162463638159
big.major.version,216913,0.001499771787686721
proc.unmatched.processor.options,202725,0.0014016736463872176
missing.SVUID,166325,0.001149998121767685
incompatible.types,133378,0.0009221972011731869
missing.deprecated.annotation,113304,0.0007834022978431733
underscore.as.identifier,73337,0.0005070639546434795
try.resource.not.referenced,71833,0.000496665053846013
redundant.cast,67537,0.0004669618106106968
auxiliary.class.accessed.from.outside.of.its.source.file,67036,0.0004634978150657961
proc.annotations.without.processors,57205,0.00039552468093022954
possible.fall-through.into.case,47060,0.00032538049968668125
illegal.char.for.encoding,40831,0.0002823121798280256
unchecked.assign.to.var,40594,0.0002806735232528929
static.not.qualified.by.type,20227,0.00013985277023294734
unchecked.implement,18317,0.00012664671935318616
proc.package.does.not.exist,14423,9.97229695491076e-05
override.equals.but.not.hashcode,12129,8.386188016786564e-05
option.obsolete.source,11500,7.9512871789138e-05
option.obsolete.target,11495,7.947830097531664e-05
try.resource.throws.interrupted.exc,6908,4.776303637559698e-05
varargs.unsafe.use.varargs.param,6433,4.447880906256737e-05
proc.file.create.last.round,5216,3.6064272978447286e-05
unreachable.catch,4952,3.423893400867925e-05
unchecked.override,4889,3.380334175453006e-05
override.varargs.extra,3491,2.413734221007659e-05
proc.use.implicit,1830,1.2652917858619352e-05
potentially.ambiguous.overload,1557,1.0765351423972858e-05
path.element.not.found,1491,1.0309016681530849e-05
future.attr,1125,7.778433109806978e-06
attempt.to.recreate.a.file,946,6.540797975002135e-06
proc.type.recreate,376,2.599725199366599e-06
try.explicit.close.call,339,2.3439011770885027e-06
improper.SVUID,278,1.922137248467858e-06
override.bridge,216,1.49345915708294e-06
proc.unclosed.type.files,183,1.2652917858619352e-06
proc.use.proc.or.implicit,167,1.1546651816335694e-06
override.varargs.missing,128,8.850128338269273e-07
varargs.redundant.trustme.anno,127,8.780986710626544e-07
div.zero,108,7.4672957854147e-07
finally.cannot.complete,28,1.9359655739964035e-07
pkg-info.already.seen,4,2.765665105709148e-08
bad.class.file.header,3,2.074248829281861e-08
